                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97975,                 2.4237,                 1.3378,                0.00354,                 0.9902,                0.50618,                0.33135,                0.57777,                 2.5891,                 1.0515,                0.00014,                0.00014,                0.00014
                      2,                0.62469,                  1.693,                 1.1318,                0.93145,                0.73529,                0.87624,                0.77295,                0.47764,                 1.8317,                0.96514,             0.00029703,             0.00029703,             0.00029703
                      3,                0.56672,                  1.033,                 1.0853,                0.80673,                0.79412,                0.85885,                 0.7025,                0.65348,                 1.5501,                 1.1374,             0.00045089,             0.00045089,             0.00045089
                      4,                0.57872,                0.89654,                 1.0869,                0.76505,                0.83006,                0.86954,                0.64235,                0.70169,                 1.4914,                 1.1961,             0.00060159,             0.00060159,             0.00060159
                      5,                0.56754,                0.81939,                 1.0672,                0.67384,                0.74944,                0.74631,                0.57763,                0.81785,                 1.5441,                 1.2655,             0.00074911,             0.00074911,             0.00074911
                      6,                  0.582,                0.77975,                 1.0649,                0.70854,                0.69121,                0.69522,                0.41084,                 1.2121,                 3.0254,                 1.7429,             0.00089347,             0.00089347,             0.00089347
                      7,                 0.5832,                0.76197,                 1.0816,                0.90877,                0.78132,                0.86981,                0.64485,                0.86554,                 1.6518,                 1.3622,              0.0010347,              0.0010347,              0.0010347
                      8,                0.58079,                0.70718,                 1.0662,                0.89514,                0.70588,                0.83451,                0.62538,                0.94859,                 1.2181,                 1.5045,              0.0011727,              0.0011727,              0.0011727
                      9,                0.58023,                0.68551,                 1.0671,                0.82006,                0.75961,                0.83125,                 0.6187,                0.92716,                 1.3313,                 1.3865,              0.0013075,              0.0013075,              0.0013075
                     10,                0.53008,                0.62817,                 1.0324,                0.79931,                0.74193,                0.82707,                0.60499,                0.98468,                 1.3124,                 1.6186,              0.0014392,              0.0014392,              0.0014392
                     11,                0.53999,                0.62627,                 1.0412,                0.74005,                0.69777,                0.77302,                0.63304,                0.84212,                 1.2491,                 1.3754,              0.0015677,              0.0015677,              0.0015677
                     12,                0.60999,                 0.6683,                 1.0729,                0.77476,                0.68627,                0.77464,                 0.3912,                   1.51,                 1.4771,                 1.8433,              0.0016931,              0.0016931,              0.0016931
                     13,                 0.5966,                0.64677,                 1.0674,                0.69256,                0.77451,                0.80603,                0.57561,                 1.0727,                 1.2324,                 1.4217,              0.0017624,              0.0017624,              0.0017624
                     14,                0.54021,                0.58684,                 1.0252,                0.82136,                0.83333,                0.90675,                0.67497,                0.85228,                 1.0156,                 1.3465,              0.0017426,              0.0017426,              0.0017426
                     15,                0.54897,                0.58636,                 1.0315,                0.59351,                0.68627,                0.67936,                0.42903,                 1.1084,                 1.3657,                 1.5887,              0.0017228,              0.0017228,              0.0017228
                     16,                0.58742,                0.60933,                 1.0418,                0.75909,                0.71569,                0.77346,                0.46826,                 1.0924,                 1.2626,                  1.628,               0.001703,               0.001703,               0.001703
                     17,                0.57791,                0.59501,                 1.0476,                0.60951,                0.61765,                0.64174,                0.37302,                 1.2468,                 1.9833,                 1.7096,              0.0016832,              0.0016832,              0.0016832
                     18,                0.57332,                0.57779,                 1.0506,                0.64018,                 0.4902,                0.58186,                0.28829,                 1.0961,                 2.2057,                 1.4868,              0.0016634,              0.0016634,              0.0016634
                     19,                0.53509,                0.52545,                 1.0181,                0.72789,                0.76056,                0.80124,                0.64183,                0.80828,                 1.1243,                 1.2348,              0.0016436,              0.0016436,              0.0016436
                     20,                0.50407,                0.50264,                 1.0178,                0.73394,                0.67611,                 0.6633,                0.40747,                 1.2395,                 1.3241,                 1.7772,              0.0016238,              0.0016238,              0.0016238
                     21,                0.47824,                0.48924,                0.99446,                0.57826,                0.73936,                0.63815,                0.43787,                 1.0606,                 1.4351,                 1.4644,               0.001604,               0.001604,               0.001604
                     22,                0.50708,                0.52187,                 1.0192,                0.79553,                0.83919,                0.87024,                0.68722,                0.73072,                0.90187,                 1.1449,              0.0015842,              0.0015842,              0.0015842
